phylum	cds	rpkm	cds_relative	rpkm_relative
Candidatus Yanofskybacteria	190	3.9547	5.3829495469738e-4	1.7940478056705555e-4
Candidatus Yonathbacteria	97	5.6737	2.74813740029715e-4	2.573871351817592e-4
Candidatus Zambryskibacteria	154	2.751	4.3630222643892903e-4	1.2479898635546813e-4
Cercozoa	1400	68.2459	0.003966383876717536	0.003095972062128914
Chlamydiae	2585	99.6104	0.007323644515224879	0.004518821137936286
Chlorobi	3572	163.4269	0.010119945148310742	0.007413853676196457
Chloroflexi	150402	3438.3764	0.4261086198757649	0.15598178459780576
Chlorophyta	8926	450.957	0.025288530345414804	0.020457643216976677
Chordata	7394	304.8788	0.020948173131749615	0.013830812505005998
Chrysiogenetes	82	2.4112	2.323167699220271e-4	1.093839752454761e-4
Chytridiomycota	969	48.7443	0.0027453042689566374	0.002211282890078824
Ciliophora	15459	410.5298	0.04379737739298314	0.018623665179466762
Cnidaria	36089	1697.0135	0.10224487694775655	0.0769849380703545
Coprothermobacterota	16	0.48	4.5330101448200414e-5	2.1775177553843946e-5
Crenarchaeota	189	4.3997	5.354618233568674e-4	1.9959218475759842e-4
Cressdnaviricota	14	0.6393	3.966383876717536e-5	2.900181460452591e-5
Cryptomycota	122	5.7631	3.456420235425282e-4	2.614427620011626e-4
Ctenophora	53	7.3133	1.5015596104716388e-4	3.3176751250943117e-4
Cyanobacteria	474226	24941.3737	1.343544543085893	1.1314642515714037
Deferribacteres	275	9.3227	7.791111186409447e-4	4.2292384954421033e-4
Deinococcus-Thermus	10569	506.2113	0.029943365137876883	0.02296425195262951
Dictyoglomi	61	1.1359	1.728210117712641e-4	5.153005038210696e-5
Discosea	1812	50.2683	0.005133633989008697	0.002280419078812279
Duplornaviricota	2	0.0269	5.666262681025052e-6	1.2203172420800049e-6
Echinodermata	1884	79.833	0.005337619445525599	0.0036216203117833833
Elusimicrobia	2880	71.451	0.008159418260676074	0.0032413712737493832
Endomyxa	2480	60.031	0.007026165724471064	0.0027233035077808463
Euglenozoa	793	35.4948	0.002246673153026433	0.0016102199421628753
Euryarchaeota	13807	398.8076	0.03911704441845645	0.01809188812462995
Evosea	2490	85.1796	0.007054497037876189	0.0038641685707612623
Fibrobacteres	625	27.8907	0.001770707087820329	0.0012652603012520737
Firmicutes	37172	1527.9414	0.10531315818953162	0.06931499016014353
Foraminifera	939	24.9057	0.002660310328741262	0.0011298459158391068
Fornicata	26	0.4754	7.366141485332567e-5	2.1566498768952944e-5
Fusobacteria	2408	49.8827	0.006822180267954162	0.002262926352844024
Gemmatimonadetes	44173	1028.2146	0.1251479107044598	0.04664490724678049
Haptista	9087	533.1224	0.025744664491237322	0.02418507274569045
Hemichordata	513	25.0284	0.0014533963776829258	0.001135412195601308
Heterolobosea	297	11.2137	8.414400081322202e-4	5.087089761157081e-4
Ignavibacteriae	7514	224.0965	0.02128814889261112	0.010166127243114564
Imbricatea	7	0.1181	1.983191938358768e-5	5.357600977310355e-6
Kiritimatiellaeota	3086	65.8811	0.008743043316821655	0.002988693020713643
Lenarviricota	1	0.06	2.833131340512526e-6	2.7218971942304933e-6
Lentisphaerae	12923	278.5993	0.03661255631344337	0.01263864421640966
Microsporidia	105	2.129	2.9747879075381524e-4	9.658198544194535e-5
Mollusca	50750	1768.7484	0.1437814155310107	0.08023918845432791
Mucoromycota	1814	115.1368	0.005139300251689722	0.005223175547877958
Negarnaviricota	2	0.0287	5.666262681025052e-6	1.3019741579069194e-6
Nematoda	1182	69.2431	0.0033487612444858057	0.003141209993497025
Nemertea	3	0.0458	8.499394021537577e-6	2.0777148582626102e-06
Nitrospinae	1292	38.9887	0.0036604056919421835	0.0017687205522782408
Nitrospirae	10705	311.785	0.03032867100018659	0.014144111945052577
Nucleocytoviricota	2484	86.6466	0.007037498249833115	0.003930718957160198
Orthonectida	20	0.4766	5.666262681025052e-5	2.1620936712837555e-5
Parabasalia	114	3.7408	3.2297697281842796e-4	1.6970121706962385e-4
Peploviricota	2	0.0378	5.666262681025052e-6	1.7147952323652111e-6
Perkinsozoa	206	11.6624	5.836250561455804e-4	5.290642306332284e-4
Phixviricota	3	0.0504	8.499394021537577e-6	2.2863936431536147e-6
Pisuviricota	2	0.0188	5.666262681025052e-6	8.528611208588881e-7
Placozoa	274	7.699	7.762779873004321e-4	3.492647749730095e-4
Planctomycetes	1338538	35240.242399999996	3.7922539582669557	1.5986719485427077
Platyhelminthes	851	33.2911	0.0024109947707761595	0.0015102491947141133
Porifera	616	29.1816	0.0017452089057557161	0.001323821919385943
Preaxostyla	1	0.0234	2.833131340512526e-6	1.0615399057498926e-6
Preplasmiviricota	80	2.78	2.2665050724100208e-4	1.261145699993462e-4
Priapulida	443	20.9612	0.001255077183847049	9.509038577950704e-4
Proteobacteria	8185781	573484.7140000002	23.191392697671965	26.016107232844625
Rhodophyta	42784	1525.586	0.12121269127248792	0.0692081375492887
Rhodothermaeota	3459	184.8801	0.009799801306832827	0.008387077090984218
Rotifera	41	0.6894	1.1615838496101355e-4	3.127459876170837e-5
Spirochaetes	33773	847.4752	0.09568334476312954	0.03844567281766544
Streptophyta	108235	9555.9779	0.30664397064037324	0.4335064905689768
Synergistetes	376	9.0925	0.0010652573840327097	4.124808373090127e-4
Tardigrada	162	5.3381	4.5896727716302925e-4	2.4216265687536327e-4
Tenericutes	276	6.1249	7.819442499814572e-4	2.7785580208237255e-4
Thaumarchaeota	723	25.5647	0.002048353959190556	0.001159741420022405
Thermodesulfobacteria	226	4.6739	6.402876829558309e-4	2.1203125493523173e-4
Thermotogae	451	14.9497	0.0012777422345711493	6.781924414097935e-4
Tubulinea	2	0.0516	5.666262681025052e-6	2.3408315870382245e-6
Uroviricota	6029	244.64509999999999	0.01708094885195002	0.011098313521203976
Verrucomicrobia	371837	19794.1861	1.0534630582621562	0.8979623267944372
Xenacoelomorpha	1	0.0199	2.833131340512526e-6	9.027625694197804e-7
Zoopagomycota	374	10.5594	0.0010595911213516847	4.790266872126246e-4
NA	20470035	1326507.6559000027	57.99429769988832	60.176957778658114
